Suburb,ratio_normalised,ws_normalised,cc_normalised,lg_normalised,school_normalised
Melbourne,0.046198922,0.620324686,0.321428571,1,0.315789474
Melbourne Airport,0.002016399,0.901494449,0.142857143,0,0
Melton,0.210618956,0.542814326,0.392857143,0.294117647,0.421052632
Melton South,0.261095762,0.593825725,0.357142857,0,0.315789474
Melton West,0.195523818,0.618837757,0.178571429,0.019607843,0.157894737
Mentone,0.072211577,0.706761038,0.214285714,0.019607843,0.421052632
Mernda,0.091673722,0.686493403,0.392857143,0,0.210526316
Mickleham - Yuroke,0.037709995,0.752711754,0.142857143,0,0.105263158
Mill Park,0.110344904,0.660293459,0.214285714,0.117647059,0.315789474
Mitcham,0.089946972,0.728853425,0.25,0.117647059,0.263157895
Monbulk - Silvan,0.062742302,0.667166469,0,0.058823529,0.263157895
Montmorency - Briar Hill,0.179314647,0.741664343,0.035714286,0.039215686,0.315789474
Montrose,0.075787621,0.710439274,0.107142857,0,0.105263158
Moonee Ponds,0.079374805,0.80716974,0.142857143,0.078431373,0.157894737
Moorabbin - Heatherton,0.049039704,0.719660141,0.357142857,0.058823529,0.210526316
Moorabbin Airport,0,0,0.035714286,0,0
Mooroolbark,0.245710975,0.682351195,0.357142857,0.215686275,0.526315789
Mordialloc - Parkdale,0.110935342,0.751416225,0.285714286,0.058823529,0.315789474
Mornington,0.13361704,0.591573258,0.678571429,0.843137255,0.368421053
Mount Dandenong - Olinda,0.10813912,0.735986707,0.035714286,0,0.105263158
Mount Eliza,0.199278107,0.861926916,0.25,0.039215686,0.263157895
Mount Evelyn,0.108083419,0.687034205,0.25,0.058823529,0.263157895
Mount Martha,0.206630721,0.743502562,0.214285714,0.039215686,0.105263158
Mount Waverley,0.187224277,0.752331642,0.178571429,0.196078431,0.473684211
Mulgrave,0.215765786,0.696319259,0.25,0.058823529,0.263157895
Murrumbeena,0.051535137,0.75649783,0.178571429,0.039215686,0.105263158
Narre Warren North,0.08643777,0.892892025,0.035714286,0.039215686,0.052631579
Narre Warren South,0.333151375,0.744864613,0.321428571,0.058823529,0.210526316
Newport,0.195824607,0.853126997,0.321428571,0.078431373,0.210526316
Noble Park,0.173009224,0.510242367,0.178571429,0,0.473684211
Noble Park North,0.083407602,0.556070197,0,0,0.105263158
North Melbourne,0.076634285,0.70830975,0.392857143,0.058823529,0.157894737
Northcote,0.068702375,0.808756447,0.428571429,0.058823529,0.315789474
Nunawading,0.132302482,0.695173711,0.178571429,0.039215686,0.157894737
Oakleigh - Huntingdale,0.237177488,0.694453528,0.25,0.078431373,0.157894737
Ormond - Glen Huntly,0.148600775,0.730447877,0,0,0.473684211
Pakenham,0.525199412,0.597711321,0.75,0.470588235,0.421052632
Panton Hill - St Andrews,0.057394947,0.792294817,0,0,0.105263158
Parkville,0.082538657,0.75737188,0.321428571,0,0.052631579
Pascoe Vale,0.261207165,0.686171173,0.214285714,0.039215686,0.263157895
Pascoe Vale South,0.110957622,0.778362387,0.357142857,0,0.105263158
Pearcedale - Tooradin,0.086237244,0.662266958,0.035714286,0.019607843,0.157894737
Plenty - Yarrambat,0.163428546,0.709487096,0.142857143,0.039215686,0.263157895
Point Cook,0.277449757,0.836000832,0.535714286,0.235294118,0.315789474
Point Nepean,0.19075576,0.541750504,0.142857143,0.058823529,0
Port Melbourne,0.090036095,0.90566326,0.285714286,0.039215686,0.105263158
Port Melbourne Industrial,0.000200526,0,0,0,0
Prahran - Windsor,0.036607103,0.805098658,0.357142857,0.019607843,0.105263158
Preston,0.071765964,0.650895327,0.321428571,0.196078431,0.421052632
Research - North Warrandyte,0.074707009,0.927516346,0.071428571,0,0.263157895
Reservoir,0.094904416,0.560069345,0.357142857,0.058823529,0.526315789
Richmond,0.056626264,0.851696164,0.214285714,0.039215686,0.368421053
Riddells Creek,0.044672697,0.772886529,0.035714286,0.019607843,0.052631579
Ringwood,0.063678089,0.621924498,0.178571429,0.333333333,0.368421053
Ringwood East,0.225702954,0.703352523,0.214285714,0.098039216,0.157894737
Ringwood North,0.106100441,0.801821206,0.357142857,0,0.157894737
Rockbank - Mount Cottrell,0.033866583,0.526223967,0,0,0.052631579
Romsey,0.104273428,0.688335445,0.071428571,0.019607843,0.052631579
Rosebud - McCrae,0.233311795,0.465456053,0.214285714,0.156862745,0.210526316
Rowville,0.376464953,0.783486095,0.285714286,0.098039216,0.315789474
Roxburgh Park - Somerton,0.040506216,0.611162867,0.178571429,0.019607843,0.263157895
Sandringham - Black Rock,0.09194109,0.901261569,0.107142857,0.019607843,0.315789474
Seabrook,0.057083018,0.707749088,0,0,0.052631579
Seaford,0.183403146,0.559591906,0.321428571,0.058823529,0.421052632
Seddon - Kingsville,0.051446014,0.793072798,0.035714286,0,0.052631579
Skye - Sandhurst,0.145682011,0.782043553,0,0,0.052631579
Somerville,0.201517312,0.657880869,0.25,0.117647059,0.210526316
South Melbourne,0.042890246,0.821294342,0.464285714,0.098039216,0.052631579
South Morang,0.268002763,0.710842803,0.178571429,0,0.157894737
South Yarra,0.037353505,0.811130106,0.25,0.078431373,0.263157895
Southbank,0.2079787,0.830111103,0.071428571,0,0.052631579
Springvale,0.242535983,0.523437996,0.321428571,0.137254902,0.368421053
Springvale South,0.140913952,0.560568853,0.357142857,0,0.210526316
St Albans,0.103928078,0.487839816,0.25,0.176470588,0.684210526
St Kilda,0.041575687,0.723110963,0.25,0.078431373,0.157894737
St Kilda East,0.091439775,0.727840943,0.214285714,0.039215686,0.315789474
Strathmore,0.10503097,0.858100207,0,0.019607843,0.210526316
Sunbury,0.438594537,0.678966151,0.392857143,0.294117647,0.684210526
Sunshine,0.02720467,0.577191668,0.178571429,0.235294118,0.368421053
Sunshine North,0.065170893,0.532155694,0.285714286,0.039215686,0.263157895
Sunshine West,0.207042913,0.538352129,0.25,0,0.157894737
Surrey Hills,0.292812263,0.951763454,0.107142857,0.039215686,0.210526316
