Suburb,ratio_normalised,ws_normalised,cc_normalised,lg_normalised,school_normalised
Mount Waverley,0.333757,0.752331642,0.238095238,0.172413793,0.642857143
Mulgrave,0.384636772,0.696319259,0.333333333,0.068965517,0.357142857
Murrumbeena,0.183719268,0.75649783,0.238095238,0.086206897,0.142857143
Narre Warren,0.543253763,0.631881811,0,0.155172414,0.5
Narre Warren North,0.038527227,0.892892025,0.047619048,0.017241379,0.071428571
Narre Warren South,0.053997696,0.744864613,0.428571429,0.051724138,0.285714286
Newport,0.349088454,0.853126997,0.333333333,0.051724138,0.357142857
Niddrie,0.137486595,0.760452325,0,0.051724138,0.214285714
Noble Park,0.102792231,0.510242367,0.238095238,0,0.714285714
Noble Park North,0.014874687,0.556070197,0,0,0.142857143
North Melbourne,0.003634269,0.70830975,0.428571429,0.086206897,0.285714286
Northcote,0.489871708,0.808756447,0.476190476,0.103448276,0.428571429
Nunawading,0.235850181,0.695173711,0.238095238,0.034482759,0.214285714
Oakleigh - Huntingdale,0.42280653,0.694453528,0.285714286,0.068965517,0.214285714
Ormond - Glen Huntly,0.264904476,0.730447877,0,0,0.642857143
Pakenham,0.936251341,0.597711321,1,0.189655172,0.571428571
Panton Hill - St Andrews,0.102315606,0.792294817,0,0,0.142857143
Parkville,0.147138261,0.75737188,0.380952381,0,0.071428571
Pascoe Vale,0.093120705,0.686171173,0.285714286,0.017241379,0.357142857
Pascoe Vale South,0.012352544,0.778362387,0.380952381,0,0.142857143
Pearcedale - Tooradin,0.15373158,0.662266958,0.047619048,0.017241379,0.214285714
Plenty - Yarrambat,0.058267466,0.709487096,0.333333333,0.017241379,0.357142857
Point Cook,0.989196489,0.836000832,0.714285714,0.206896552,0.428571429
Point Nepean,0.113357429,0.541750504,0.19047619,0,0
Port Melbourne,0.002839894,0.90566326,0.380952381,0.068965517,0.142857143
Port Melbourne Industrial,0.000357469,0,0,0,0
Prahran - Windsor,0.391508122,0.805098658,0.380952381,0.017241379,0.142857143
Preston,0.319855424,0.650895327,0.428571429,0.172413793,0.642857143
Research - North Warrandyte,0.133177106,0.927516346,0.095238095,0.017241379,0.357142857
Reservoir,0.507526711,0.560069345,0.476190476,0.051724138,0.714285714
Richmond,0.605691703,0.851696164,0.285714286,0.017241379,0.5
Riddells Creek,0.079636176,0.772886529,0.047619048,0.017241379,0.071428571
Ringwood,0.340568773,0.621924498,0.238095238,0.293103448,0.5
Ringwood East,0.08047027,0.703352523,0.285714286,0.068965517,0.214285714
Ringwood North,0.047285221,0.801821206,0.428571429,0,0.214285714
Rockbank - Mount Cottrell,0.060372562,0.526223967,0,0,0.071428571
