Suburb,ratio_normalised,ws_normalised,cc_normalised,lg_normalised,school_normalised
Wantirna,0.035753157,0.697363103,0.333333333,0.068965517,0.357142857
Wantirna South,0.014067153,0.722933972,0.380952381,0.103448276,0.5
Warrandyte - Wonga Park,0.206366157,0.948929598,0,0,0.071428571
Watsonia,0.187123935,0.677887532,0.19047619,0,0.142857143
Wattle Glen - Diamond Creek,0.281301982,0.837942538,0.19047619,0.051724138,0.357142857
Werribee,0.294362871,0.597620547,0.571428571,0.379310345,0.857142857
West Footscray - Tottenham,0.035691549,0.640071761,0.476190476,0.103448276,0.571428571
West Melbourne,6.16E-05,0,0,0.017241379,0.071428571
Wheelers Hill,0.081137694,0.762220588,0.095238095,0.034482759,0.571428571
Whittlesea,0.166895985,0.654009055,0.095238095,0.034482759,0.214285714
Williamstown,0.317342643,0.864565935,0.285714286,0.086206897,0.428571429
Wollert,0.062018688,0.671309308,0,0,0.071428571
Wyndham Vale,0.043454153,0.643633699,0.333333333,0.017241379,0.285714286
Yarra,0.185727487,0.907366506,0,0,0
Yarra Valley,0.027661978,0.528425591,0,0,0
Yarraville,0.30389157,0.847748382,0.238095238,0.068965517,0.357142857
