Suburb,ratio_normalised,ws_normalised,cc_normalised,lg_normalised,school_normalised
Truganina,0.065204314,0.716955909,0.285714286,0.019607843,0.210526316
Tullamarine,0.017980482,0.547389694,0.25,0.019607843,0.052631579
Upper Ferntree Gully,0.16288267,0.676902284,0,0,0.052631579
Upwey - Tecoma,0.009736643,0.725245127,0.142857143,0.019607843,0.210526316
Vermont,0.038779466,0.720395951,0.214285714,0,0.210526316
Vermont South,0.043369279,0.751266816,0.25,0.019607843,0.263157895
Viewbank - Yallambie,0.05097812,0.727570923,0.25,0,0.105263158
Wallan,0.180684907,0.687501753,0.285714286,0.019607843,0.105263158
Wandin - Seville,0.01411479,0.692511116,0,0.039215686,0.052631579
Wantirna,0.077570073,0.697363103,0.25,0.019607843,0.263157895
Wantirna South,0.01239918,0.722933972,0.285714286,0.039215686,0.368421053
Watsonia,0.011274007,0.677887532,0.214285714,0,0.105263158
Wattle Glen - Diamond Creek,0.021801613,0.837942538,0.25,0.058823529,0.263157895
Werribee,0.026614233,0.597620547,0.428571429,0.431372549,0.631578947
West Footscray - Tottenham,0.015952943,0.669953606,0.285714286,0,0.052631579
West Melbourne,3.34E-05,0,0,0,0.052631579
Wheelers Hill,0.018336973,0.762220588,0.107142857,0.039215686,0.421052632
Whittlesea,0.090537409,0.654009055,0.178571429,0.039215686,0.157894737
Williamstown,0.028697473,0.864565935,0.285714286,0.019607843,0.315789474
Wollert,0.100931331,0.671309308,0,0,0.052631579
Wyndham Vale,0.129628804,0.643633699,0.25,0.019607843,0.210526316
Yarra,0.025188271,0.907366506,0.107142857,0.019607843,0
Yarra Valley,0.090013814,0.528425591,0,0.019607843,0
Yarraville,0.013736019,0.847748382,0.214285714,0.019607843,0.263157895
Boronia,0.01171962,0.586092171,0.178571429,0.235294118,0.263157895
Ivanhoe,0.01410365,0.848230022,0.25,0.078431373,0.210526316
Broadmeadows,0.011396551,0.444409466,0.178571429,0.039215686,0.526315789
Blackburn South,0.040082884,0.705981971,0.321428571,0.019607843,0.157894737
Braeside,0.000646139,0.33791954,0,0,0
Narre Warren,0.30474355,0.631881811,0,0.176470588,0.368421053
Brighton,0.019451005,0.996096627,0.428571429,0.156862745,0.421052632
Glen Iris - East,0.181876922,1,0,0,0
Brighton East,0.058809768,0.916160933,0.321428571,0.019607843,0.210526316
Box Hill North,0.097767479,0.730990215,0.285714286,0.058823529,0.157894737
Warrandyte - Wonga Park,0.012443741,0.948929598,0,0.019607843,0.052631579
Box Hill,0.031560537,0.655011902,0.178571429,0.176470588,0.210526316
Braybrook,0.050777595,0.590533686,0.214285714,0.019607843,0.315789474
Hurstbridge,0.012811372,0.731823678,0,0,0.105263158
Berwick,0.271244597,0.736393344,0.428571429,0.431372549,0.684210526
Bentleigh East,0.031215186,0.764265446,0.357142857,0.078431373,0.263157895
Bentleigh - McKinnon,0.020810124,0.807336151,0.357142857,0.196078431,0.210526316
Croydon,0.013245845,0.612453557,0.392857143,0.215686275,0.421052632
Hampton,0.01033822,0.872296314,0.285714286,0.039215686,0.157894737
Blackburn,0.029778085,0.766774954,0.214285714,0.117647059,0.263157895
Carlton,0.026458268,0.582524518,0.321428571,0.039215686,0.157894737
Niddrie - Essendon West,0.07712446,0.760452325,0,0,0.157894737
Belgrave - Selby,0.010148835,0.744100604,0.178571429,0.039215686,0.210526316
